date, pm25, pm10, o3, no2, so2, co
2024/11/8, 33, 13, 33, 7, 1, 
2024/11/9, 45, 15, 26, 4, 1, 
2024/11/10, 53, 13, 20, 9, 1, 
2024/11/11, 44, 15, 28, 11, 1, 3
2024/11/12, 48, 15, 34, 6, 1, 2
2024/11/13, 49, 22, 31, 8, 1, 3
2024/11/14, 64, 21, 19, 11, 1, 3
2024/11/15, 64, 17, 17, 8, 1, 2
2024/11/16, 54, 14, 31, 5, 1, 3
2024/11/17, 41, 4, 26, 2, 1, 2
2024/11/18, 10, 6, 29, 5, 1, 2
2024/11/19, 20, 10, 15, 10, , 2
2024/11/20, 37, 8, 20, 10, 1, 3
2024/11/21, 27, 11, 21, 12, 1, 3
2024/11/22, 35, 4, 27, 3, , 2
2024/11/23, 15, 8, 26, 7, 1, 
2024/11/24, 27, 10, 25, 10, 1, 
2024/11/25, 34, 19, 18, 17, 1, 
2024/11/26, 61, 11, 21, 10, 1, 
2024/11/27, 37, 8, 30, 10, , 
2024/11/28, 28, 9, 26, 14, 1, 
2024/11/29, 31, 8, 24, 14, 1, 
2024/11/30, 28, 8, 27, 8, 1, 
2024/12/1, 27, 12, 25, 12, 1, 
2024/12/2, 38, 18, 23, 20, 1, 
2024/12/3, 58, 16, 25, 16, 1, 
2024/12/4, 52, 12, 28, 13, 1, 
2024/12/5, 40, 7, 26, 13, 1, 
2024/12/6, 25, 8, 27, 9, 1, 
2024/12/7, 31, 6, 28, 4, 1, 
2024/12/8, 20, 5, 26, 6, , 
2024/12/9, 17, 10, 25, 13, 1, 
2024/12/10, 35, 8, 27, 11, 1, 
2024/12/11, 30, 6, 28, 5, 1, 
2024/12/12, 19, 21, 10, 23, 1, 
2024/12/13, 65, 10, 30, 9, 1, 
2024/12/14, 32, 12, 25, 12, 1, 6
2024/12/15, 41, 14, 25, 17, 1, 4
2024/12/16, 47, 15, 23, 22, 1, 4
2024/12/17, 50, 11, 25, 13, 1, 3
2024/12/18, 36, 6, 25, 8, 1, 2
2024/12/19, 22, 12, 24, 17, 1, 3
2024/12/20, 40, 12, 24, 13, 1, 
2024/12/21, 41, 6, 28, 5, 1, 
2024/12/22, 16, 9, 27, 11, 1, 
2024/12/23, 28, 6, 29, 10, 1, 
2024/12/24, 18, 13, 25, 13, 1, 
2024/12/25, 44, 13, 31, 13, 1, 
2024/12/26, 45, 4, 29, 5, 1, 
2024/12/27, 13, 10, 26, 11, 1, 
2024/12/28, 35, 7, 26, 9, 1, 
2024/12/29, 28, , , , , 
2024/7/1, 32, 20, 43, 7, 1, 
2024/7/2, 42, 21, 70, 7, 1, 
2024/7/3, 46, 33, 52, 7, 1, 
2024/7/4, 58, 23, 22, 9, , 
2024/7/5, 52, 37, 53, 4, 1, 
2024/7/6, 56, 33, 73, 5, 1, 
2024/7/7, 50, 35, 50, 7, , 
2024/7/8, 55, 34, 45, 11, 1, 
