date, pm25, pm10, o3, no2, so2
2025/2/25, 19, 5, 42, 1, 1
2025/2/26, 26, 17, 53, 3, 1
2025/2/27, 59, 10, 42, 4, 1
2025/2/28, 47, 19, 40, 4, 1
2025/3/1, 65, 18, 27, 3, 1
2025/3/2, 74, 5, 38, 2, 1
2025/3/3, 24, 4, 32, 2, 1
2025/3/4, 19, 3, 32, 3, 1
2025/3/5, 21, 2, 36, 1, 
2025/3/6, 15, 5, 39, 1, 
2025/3/7, 28, 6, 38, 2, 1
2025/3/8, 42, 9, 40, 2, 1
2025/3/9, 43, 6, 44, 1, 1
2025/3/10, 38, 4, 30, 4, 
2025/3/11, 39, 5, 25, 4, 1
2025/3/12, 34, 14, 43, 2, 1
2025/3/13, 50, 8, 38, 2, 1
2025/3/14, 37, 7, 36, 2, 1
2025/3/15, 23, 2, 27, 1, 
2025/3/16, 18, 3, 39, 1, 
2025/3/17, 33, 3, 40, 1, 1
2025/3/18, 22, 6, 42, 1, 
2025/3/19, 42, 8, 45, 2, 1
2025/3/20, 33, 8, 55, 1, 1
2025/3/21, 46, 13, 63, 1, 1
2025/3/22, 57, 13, 75, 2, 1
2025/3/23, 58, 12, 61, 2, 1
2025/3/24, 60, 18, 51, 1, 1
2025/3/25, 66, 22, 77, 3, 1
2025/3/26, 85, 16, 41, 1, 1
2025/3/27, 59, 8, 37, 1, 1
2025/3/28, 41, 4, 37, 1, 1
2025/3/29, 37, 3, 38, 1, 1
2025/3/30, 34, 1, 38, 1, 1
2025/3/31, 26, 3, 31, 3, 1
2024/10/1, 35, 13, 46, 1, 1
2024/10/2, 47, 3, 23, 1, 
2024/10/3, 18, 5, 27, 1, 
2024/10/4, 19, 5, 34, , 1
2024/10/5, 24, 6, 38, 1, 1
2024/10/6, 25, 6, 25, 2, 
2024/10/7, 18, 2, 38, 1, 1
2024/10/8, 19, 4, 36, 1, 1
2024/10/9, 28, 8, 39, 1, 1
2024/10/10, 29, 5, 38, 1, 1
2024/10/11, 30, 5, 39, 1, 1
2024/10/12, 30, 3, 41, , 1
2024/10/13, 31, 6, 40, 1, 1
2024/10/14, 35, 9, 39, 1, 
2024/10/15, 23, 10, 22, 1, 
2024/10/16, 26, 8, 36, 1, 1
2024/10/17, 39, 5, 29, 1, 1
2024/10/18, 29, 5, 28, 1, 
2024/10/19, 24, 3, 35, 1, 1
2024/10/20, 25, 7, 33, 1, 
2024/10/21, 26, 10, 34, 1, 
2024/10/22, 27, 16, 30, 1, 1
2024/10/23, 31, 10, 31, 2, 1
2024/10/24, 38, 7, 35, 1, 1
2024/10/25, 30, 7, 21, 2, 1
2024/10/26, 35, 7, 33, 1, 1
2024/10/27, 33, 2, 34, 1, 
2024/10/28, 24, 11, 34, 2, 
2024/10/29, 39, 3, 33, 1, 1
2024/10/30, 20, 6, 33, 1, 1
2024/10/31, 32, 10, 34, 1, 
2024/11/1, 27, 12, 34, 1, 
2024/11/2, 21, 8, 39, 1, 1
2024/11/3, 40, 8, 30, 1, 
2024/11/4, 42, 8, 34, 1, 1
2024/11/5, 47, 7, 33, 1, 1
2024/11/6, 32, 5, 32, 1, 1
2024/11/7, 21, 5, 34, 1, 1
2024/11/8, 31, 3, 36, 2, 1
2024/11/9, 22, 7, 32, 2, 1
2024/11/10, 35, 5, 34, 1, 1
2024/11/11, 41, 7, 33, 2, 1
2024/11/12, 42, 11, 39, 1, 1
2024/11/13, 49, 15, 34, 2, 1
2024/11/14, 58, 14, 20, 2, 1
2024/11/15, 57, 18, 19, 4, 1
2024/11/16, 62, 11, 24, 4, 1
2024/11/17, 43, 4, 27, 1, 
2024/11/18, 18, 5, 31, 1, 
2024/11/19, 19, 3, 31, 1, 1
2024/11/20, 27, 4, 34, 1, 1
2024/11/21, 25, 8, 37, 1, 1
2024/11/22, 41, 4, 29, 1, 1
2024/11/23, 16, 2, 28, 1, 
2024/11/24, 17, 3, 29, 2, 1
2024/11/25, 17, 5, 35, 1, 
2024/11/26, 25, 5, 25, 1, 1
2024/11/27, 37, 3, 29, 1, 
2024/11/28, 15, 4, 28, 1, 1
2024/11/29, 18, 3, 27, 1, 
2024/11/30, 20, 6, 27, 1, 1
2024/12/1, 24, 5, 29, 1, 1
2024/12/2, 17, 9, 37, 2, 1
2024/12/3, 52, 8, 32, 1, 1
2024/12/4, 31, 6, 31, 1, 1
2024/12/5, 30, 4, 31, 1, 1
2024/12/6, 31, 5, 30, 1, 1
2024/12/7, 26, 4, 31, 1, 
2024/12/8, 19, 3, 29, 1, 1
2024/12/9, 15, 6, 31, 1, 
2024/12/10, 20, 3, 32, 1, 1
2024/12/11, 25, 5, 27, 1, 1
2024/12/12, 18, 4, 32, 2, 1
2024/12/13, 24, 4, 34, 1, 1
